epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77546,1.08433,3.86797,1.15675,0.00051,0.02941,0.0003,3e-05,0.89444,3.89581,1.07094,2.222e-05,2.222e-05,2.222e-05
2,5.41911,0.95018,3.71269,1.02005,0.00051,0.02941,0.00027,3e-05,0.82275,3.88083,1.02298,5.44501e-05,5.44501e-05,5.44501e-05
3,8.03771,0.83522,3.46949,0.98616,0.00158,0.07487,0.00088,0.00035,0.73575,3.85695,0.97497,8.53604e-05,8.53604e-05,8.53604e-05
4,10.6727,0.84925,3.06763,0.99415,0.00696,0.3984,0.11969,0.07674,0.7491,3.76364,0.91618,0.000114951,0.000114951,0.000114951
5,13.343,1.01671,2.47794,1.02522,0.01788,1,0.38412,0.21663,0.81446,3.54315,0.9377,0.000143221,0.000143221,0.000143221
6,15.9518,1.0553,2.06114,1.10128,0.01757,1,0.68748,0.53234,0.83076,3.28755,0.9483,0.000170172,0.000170172,0.000170172
7,18.6669,0.92414,1.68421,1.00027,0.01707,1,0.71436,0.55577,0.85252,3.06968,0.96118,0.000195803,0.000195803,0.000195803
8,21.3966,0.80591,1.39468,0.94846,0.01658,1,0.91615,0.68678,0.87567,2.9566,0.95051,0.000220114,0.000220114,0.000220114
9,24.2806,0.90217,1.29664,0.99561,0.71535,0.89927,0.9926,0.79046,0.80422,2.79004,0.88127,0.000243105,0.000243105,0.000243105
10,27.1953,0.87371,1.12385,1.00327,1,0.46814,0.9913,0.7828,0.80046,2.71139,0.8636,0.000264776,0.000264776,0.000264776
11,30.0556,0.87693,1.09436,0.95665,0.99157,0.5,0.97814,0.79127,0.75879,2.69953,0.85433,0.000285127,0.000285127,0.000285127
12,32.833,0.87895,0.99878,0.96704,0.99917,0.5,0.97623,0.77255,0.77474,2.67281,0.85864,0.000304158,0.000304158,0.000304158
13,35.6101,0.76366,0.90449,0.91474,0.9997,0.5,0.995,0.75629,0.91828,2.47859,0.89222,0.00032187,0.00032187,0.00032187
14,38.3089,0.84286,0.94068,0.95341,0.98931,0.5,0.995,0.74834,0.98393,2.31544,0.89984,0.000338262,0.000338262,0.000338262
15,41.1105,0.91094,0.94694,0.98093,1,0.47052,0.995,0.75547,0.95062,2.29815,0.89888,0.000353334,0.000353334,0.000353334
16,43.8341,0.78236,0.86611,0.96115,1,0.2514,0.995,0.77904,0.89773,2.38628,0.89731,0.000367086,0.000367086,0.000367086
17,46.7507,0.93212,0.87797,1.0249,0.98608,0.91898,0.995,0.77692,0.83952,2.56269,0.90934,0.000379518,0.000379518,0.000379518
18,49.5128,0.8294,0.87064,0.99285,0.7577,1,0.995,0.78508,0.84586,2.55658,0.91993,0.00039063,0.00039063,0.00039063
19,52.3032,0.81219,0.81562,0.92792,0.0205,1,0.995,0.78876,0.7965,2.52662,0.92313,0.000400422,0.000400422,0.000400422
20,55.1391,0.87432,0.87948,0.94215,0.02067,1,0.995,0.79721,0.79936,2.47013,0.92815,0.000408895,0.000408895,0.000408895
21,57.992,0.84553,0.88164,0.97498,0.99128,0.8316,0.995,0.80425,0.81361,2.33255,0.94815,0.000416047,0.000416047,0.000416047
22,60.7239,0.91959,0.78309,1.02025,0.99443,0.54869,0.995,0.81153,0.8255,2.1521,0.96989,0.00042188,0.00042188,0.00042188
23,63.5294,0.93106,0.81745,0.99284,0.98882,0.79245,0.995,0.81467,0.80206,1.97259,0.9649,0.000426393,0.000426393,0.000426393
24,66.3672,0.82327,0.77008,0.96361,0.98693,0.92617,0.995,0.82819,0.7848,1.75261,0.95568,0.000429586,0.000429586,0.000429586
25,69.2313,0.75885,0.70009,0.94023,0.99052,0.98822,0.995,0.83088,0.76882,1.54525,0.95359,0.000431459,0.000431459,0.000431459
