epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9067,1.55262,4.28109,1.80303,0.01263,1,0.67682,0.31816,1.30103,3.89236,1.39001,0,0,0
2,38.5257,1.39048,4.10164,1.7309,0.01276,1,0.67682,0.33746,1.27088,3.84749,1.3788,1.00101e-05,1.00101e-05,1.00101e-05
3,58.6255,1.39477,4.12905,1.70612,0.01299,1,0.67682,0.33628,1.30365,3.83806,1.35957,1.78204e-05,1.78204e-05,1.78204e-05
4,78.2379,1.33955,4.44374,1.96803,0.01295,1,0.72357,0.36238,1.25953,3.83638,1.30872,2.3431e-05,2.3431e-05,2.3431e-05
5,97.5237,1.14878,4.17292,1.33589,0.01289,1,0.72929,0.39049,1.18036,3.86866,1.24988,2.68418e-05,2.68418e-05,2.68418e-05
6,116.988,1.12129,3.98905,1.26347,0.01312,1,0.80929,0.43262,1.15105,3.85365,1.23108,2.80528e-05,2.80528e-05,2.80528e-05
7,136.534,1.26613,4.04407,1.46048,0.01351,1,0.85333,0.49725,1.08348,3.85745,1.19623,2.7064e-05,2.7064e-05,2.7064e-05
8,156.385,1.29232,3.83286,1.59108,0.01408,1,0.92,0.58157,1.07716,3.82911,1.18938,2.38754e-05,2.38754e-05,2.38754e-05
9,175.77,1.32049,3.84727,1.46454,0.01458,1,0.995,0.68478,0.96671,3.8785,1.12351,1.8487e-05,1.8487e-05,1.8487e-05
10,195.315,1.33408,3.9809,1.34597,0.01502,1,0.995,0.69706,0.89022,3.91086,1.08203,1.08989e-05,1.08989e-05,1.08989e-05
